Id,Label,Weight
萧炎,萧炎,37313
药老,药老,3273
薰儿,薰儿,2570
小医仙,小医仙,2168
彩鳞,彩鳞,451
海波东,海波东,1178
苏千,苏千,1034
韩枫,韩枫,832
纳兰嫣然,纳兰嫣然,825
云山,云山,681
萧厉,萧厉,709
雅妃,雅妃,639
云韵,云韵,592
古河,古河,542
柳擎,柳擎,491
吴昊,吴昊,475
法犸,法犸,488
古元,古元,471
青鳞,青鳞,427
萧玉,萧玉,453
萧鼎,萧鼎,456
林焱,林焱,403
摘星老鬼,摘星老鬼,368
林修崖,林修崖,387
萧战,萧战,380
曹颖,曹颖,325
白程,白程,278
魂殿殿主,魂殿殿主,294
唐震,唐震,307
妖暝,妖暝,274
琥嘉,琥嘉,278
慕骨,慕骨,273
玄空子,玄空子,267
药尘,药尘,235
纳兰桀,纳兰桀,256
翎泉,翎泉,218
若琳,若琳,245
凤清儿,凤清儿,238
柳翎,柳翎,211
加刑天,加刑天,228
韩雪,韩雪,214
罗布,罗布,195
陀舍古帝,陀舍古帝,187
地魔老鬼,地魔老鬼,189
韩月,韩月,189
穆蛇,穆蛇,185
姚盛,姚盛,176
费天,费天,164
沈云,沈云,173
雷尊者,雷尊者,162
萧宁,萧宁,161
黑擎,黑擎,157
古青阳,古青阳,169
铁护法,铁护法,151
魂玉,魂玉,146
墨承,墨承,149
琥乾,琥乾,152
萧晨,萧晨,128
古妖,古妖,141
洪辰,洪辰,142
金石,金石,149
韩闲,韩闲,132
北龙王,北龙王,133
沙铁,沙铁,128
范凌,范凌,134
蝎山,蝎山,127
凌影,凌影,133
慕青鸾,慕青鸾,138
穆力,穆力,112
王尘,王尘,114
萧媚,萧媚,111
曹单,曹单,108
炎利,炎利,109
柳菲,柳菲,106
蝎毕岩,蝎毕岩,111
米特尔·腾山,米特尔·腾山,111
木铁,木铁,95
妖花邪君,妖花邪君,95
韩冲,韩冲,104
金银二老,金银二老,103
魂风,魂风,85
莫崖,莫崖,92
药万归,药万归,88
雁落天,雁落天,98
韩池,韩池,92
付敖,付敖,80
罗侯,罗侯,69
净莲妖圣,净莲妖圣,66
苏笑,苏笑,63
雷纳,雷纳,66
青海,青海,67
唐火儿,唐火儿,69
丹塔老祖,丹塔老祖,66
剑尊者,剑尊者,65
蒙力,蒙力,57
九凤,九凤,65
慕兰三老,慕兰三老,64
蜈崖,蜈崖,55
谢震,谢震,61
严皓,严皓,61
邙天尺,邙天尺,55
凰轩,凰轩,57
苍狼王,苍狼王,43
丹轩,丹轩,39
云帆,云帆,39
黄泉尊者,黄泉尊者,40
火云老祖,火云老祖,42
花锦,花锦,40
丹晨,丹晨,42
棱白,棱白,38
幽泉,幽泉,33
罗成,罗成,34
铁剑尊者,铁剑尊者,30
白鹰,白鹰,28
曹休,曹休,25
修岩,修岩,24
药星极,药星极,26
火稚,火稚,25
花婆婆,花婆婆,18
苏媚,苏媚,20
谰言,谰言,15
钱陌,钱陌,16
铁乌,铁乌,18
古灵,古灵,14
蒙喇,蒙喇,12
邱机,邱机,10
摩尔罕,摩尔罕,8
妖蛇夏莽,妖蛇夏莽,6
秦镇,秦镇,5
紫妍,紫妍,5
造化圣者,造化圣者,2
慕桑,慕桑,3
曜天火,曜天火,2
袁衣,袁衣,2
叶欣蓝,叶欣蓝,2
鹜鹰,鹜鹰,1
美杜莎,美杜莎,1376
熏儿,熏儿,32
